Texttime,Time,Wind offshore MWh,Wind onshore MWh,Photovoltaics MWh,Actual grid load consumption MWh,Residual load MWh,Price comparison DA
02-04-25 0:00,02-04-25 0:00,504,"5,578.25",0,"12,217.75","6,625.50",68.06
02-04-25 0:15,02-04-25 0:15,484.75,"5,550.00",0,"12,052.75","6,539.75",68.06
02-04-25 0:30,02-04-25 0:30,469.25,"5,426.25",0,"11,994.50","6,559.00",68.06
02-04-25 0:45,02-04-25 0:45,452.5,"5,343.75",0,"11,852.25","6,496.25",68.06
02-04-25 1:00,02-04-25 1:00,434.5,"5,290.75",0,"11,766.50","6,486.75",66.93
02-04-25 1:15,02-04-25 1:15,426,"5,239.25",0,"11,656.25","6,439.50",66.93
02-04-25 1:30,02-04-25 1:30,421.5,"5,197.50",0,"11,581.25","6,429.75",66.93
02-04-25 1:45,02-04-25 1:45,404.25,"5,154.50",0,"11,586.00","6,498.00",66.93
02-04-25 2:00,02-04-25 2:00,386,"5,100.00",0,"11,495.75","6,458.00",66.8
02-04-25 2:15,02-04-25 2:15,374.5,"5,069.50",0,"11,484.25","6,484.00",66.8
02-04-25 2:30,02-04-25 2:30,360.75,"5,016.25",0,"11,508.00","6,546.75",66.8
02-04-25 2:45,02-04-25 2:45,350.25,"4,967.00",0,"11,573.25","6,651.25",66.8
02-04-25 3:00,02-04-25 3:00,346,"5,026.75",0,"11,547.25","6,656.50",67.97
02-04-25 3:15,02-04-25 3:15,346.75,"4,970.75",0,"11,551.25","6,680.25",67.97
02-04-25 3:30,02-04-25 3:30,337.75,"4,939.75",0,"11,566.00","6,712.50",67.97
02-04-25 3:45,02-04-25 3:45,342,"4,891.00",0,"11,615.50","6,776.75",67.97
02-04-25 4:00,02-04-25 4:00,367,"4,882.00",0,"11,692.00","6,863.50",68.9
02-04-25 4:15,02-04-25 4:15,381.75,"4,897.75",0,"11,774.25","6,949.25",68.9
02-04-25 4:30,02-04-25 4:30,388.5,"4,852.75",0,"11,907.25","7,084.50",68.9
02-04-25 4:45,02-04-25 4:45,392.75,"4,812.75",0,"12,105.25","7,281.25",68.9
02-04-25 5:00,02-04-25 5:00,402,"4,782.50",0,"12,336.50","7,507.75",82.18
02-04-25 5:15,02-04-25 5:15,416.5,"4,753.00",0,"12,570.25","7,723.50",82.18
02-04-25 5:30,02-04-25 5:30,441.25,"4,727.50",0,"12,703.25","7,844.25",82.18
02-04-25 5:45,02-04-25 5:45,469.75,"4,716.25",0,"13,015.75","8,140.25",82.18
02-04-25 6:00,02-04-25 6:00,485.25,"4,793.75",0,"13,575.00","8,633.50",113.84
02-04-25 6:15,02-04-25 6:15,501.5,"4,780.00",0,"13,941.00","8,988.00",113.84
02-04-25 6:30,02-04-25 6:30,528,"4,746.50",0.75,"14,319.75","9,350.25",113.84
02-04-25 6:45,02-04-25 6:45,538.25,"4,729.75",28,"14,660.50","9,653.25",113.84
02-04-25 7:00,02-04-25 7:00,553.75,"4,712.25",146,"15,099.00","9,990.25",150.31
02-04-25 7:15,02-04-25 7:15,569.25,"4,636.25",372.5,"15,278.50","9,987.50",150.31
02-04-25 7:30,02-04-25 7:30,605.75,"4,530.50",691.75,"15,486.25","9,928.00",150.31
02-04-25 7:45,02-04-25 7:45,624.5,"4,413.00","1,099.75","15,634.75","9,745.00",150.31
02-04-25 8:00,02-04-25 8:00,639,"4,238.75","1,586.50","15,869.00","9,611.75",124.7
02-04-25 8:15,02-04-25 8:15,654.25,"4,007.25","2,144.50","16,042.75","9,435.50",124.7
02-04-25 8:30,02-04-25 8:30,670.5,"3,785.00","2,766.00","16,182.25","9,211.25",124.7
02-04-25 8:45,02-04-25 8:45,686,"3,542.50","3,422.00","16,229.25","8,890.75",124.7
02-04-25 9:00,02-04-25 9:00,709,"3,170.50","4,079.50","16,245.50","8,505.00",84.74
02-04-25 9:15,02-04-25 9:15,702,"3,000.00","4,759.00","16,286.00","8,116.50",84.74
02-04-25 9:30,02-04-25 9:30,695.5,"2,846.50","5,422.75","16,460.25","7,828.25",84.74
02-04-25 9:45,02-04-25 9:45,689.5,"2,747.75","6,059.50","16,465.00","7,331.25",84.74
02-04-25 10:00,02-04-25 10:00,678.5,"2,701.00","6,653.25","16,477.50","6,813.25",48.38
02-04-25 10:15,02-04-25 10:15,661,"2,730.75","7,202.25","16,544.25","6,304.00",48.38
02-04-25 10:30,02-04-25 10:30,642.25,"2,791.25","7,705.00","16,516.50","5,718.00",48.38
02-04-25 10:45,02-04-25 10:45,623,"2,865.00","8,162.00","16,636.25","5,305.75",48.38
02-04-25 11:00,02-04-25 11:00,594.5,"2,941.25","8,567.75","16,544.25","4,725.50",0
02-04-25 11:15,02-04-25 11:15,580.5,"3,039.25","8,949.75","16,487.50","4,223.25",0
02-04-25 11:30,02-04-25 11:30,565.75,"3,140.50","9,290.50","16,479.75","3,805.50",0
02-04-25 11:45,02-04-25 11:45,551.25,"3,261.00","9,578.75","16,515.00","3,482.00",0
02-04-25 12:00,02-04-25 12:00,537.75,"3,384.25","9,806.00","16,467.25","3,134.75",-4.92
02-04-25 12:15,02-04-25 12:15,530.75,"3,509.00","9,969.50","16,411.25","2,823.00",-4.92
02-04-25 12:30,02-04-25 12:30,523.25,"3,639.00","10,086.75","16,256.50","2,457.00",-4.92
